Files,DNE,RFI,OPCR,Slope,alpha,Modified in v2
UF-H-37228-15-26-R_aligned.ply,942.5630701,0.03564995,1246.62,21.01854903,,
UF-H-37228-19-30-L_aligned.ply,930.5851246,0.035790048,1263.25,21.4015346,,
UF-H-37228-19-35-L_aligned.ply,1104.965399,0.037429465,1443.75,21.82038109,,
UF-H-37228-22-27-L_aligned.ply,1128.428165,0.033959866,1644.12,159.3638916,,
UF-H-37228-38-36-R_aligned.ply,858.6987335,0.041756342,1141.88,157.8334921,,TRUE
UF-H-37228-38-40-R_aligned.ply,707.0664074,0.031155334,1045.5,20.56717336,,
UF-H-37228-42-35-L_aligned.ply,791.6190968,0.030423497,1177.5,159.4721424,,
UF-H-37228-45-35-L_aligned.ply,835.9173117,0.032233177,1194.38,158.8264514,,
UF-H-37228-47-35-L_aligned.ply,817.2610664,0.032657856,1201.88,159.1422317,,
UF-H-37228-48-33-R_aligned.ply,822.294219,0.028802024,1231.38,160.035121,,
UF-H-37228-62-49-R_aligned.ply,1032.113548,0.04116234,1294.12,157.1301816,,
UF-H-37228-63-22-R_aligned.ply,626.6131404,0.025373116,1127,161.3106034,,
UF-H-37228-63-33-R_aligned.ply,815.427673,0.031642435,1208.5,159.5453358,,
UF-H-37228-65-26-L_aligned.ply,661.3896364,0.025699549,1157.88,161.0955473,,
UF-H-37228-65-35-L_aligned.ply,1499.716725,0.036753234,1384.62,158.0838568,,
UF-H-37228-8-28-R_aligned.ply,1105.754136,0.040162075,1272.75,22.41077011,,
UF-H-37228-84-38-R_aligned.ply,846.3798794,0.036729837,1130.38,158.7332214,,
UF-H-37228-85-20-R_aligned.ply,583.5611329,0.022857726,1088.12,162.0794803,,
UF-H-37228-85-22-L_aligned.ply,1604.535564,0.03535711,1498.88,19.40113904,,
UF-H-37228-86-51-R_aligned.ply,1112.342168,0.04472966,1269.25,156.5378552,,
UF-H-40534-104-32-R_aligned.ply,1413.912426,0.056462969,1181.25,25.09866416,,TRUE
UF-H-40534-105-19-R_aligned.ply,772.6131624,0.049159698,1025.38,156.1456852,,
UF-H-40534-107-20-L_aligned.ply,816.4655023,0.052395171,1076,23.98274026,,
UF-H-40534-123-25-L_aligned.ply,1484.840886,0.065037098,1276.12,26.37355876,,
UF-H-40534-124-41-L_aligned.ply,2024.997554,0.06968648,1451.5,25.99479493,,
UF-H-40534-125-20-L_aligned.ply,1382.563409,0.062667273,1258.12,26.28197012,,
UF-H-40534-125-38-R_aligned.ply,3202.346237,0.081412545,1605.25,27.67868829,,
UF-H-40534-17-23-L_aligned.ply,827.4673762,0.037113876,1291.75,21.69618474,,
UF-H-40534-18-28-L_aligned.ply,776.2835745,0.036274671,1211.88,21.99999633,,
UF-H-40534-18-29-R_aligned.ply,817.1682071,0.039724761,1190.38,22.07899942,,
UF-H-40534-19-22-R_aligned.ply,907.487562,0.04190265,1302.38,22.64152733,,
UF-H-40534-19-31-R_aligned.ply,800.8883757,0.038564909,1181,158.2075029,,
UF-H-40534-21-31-L_aligned.ply,738.234088,0.036223605,1226.88,21.37354864,,
UF-H-40534-36-46-L_aligned.ply,675.006865,0.026848554,1347.75,161.0719248,,
UF-H-40534-37-20-L_aligned.ply,620.7595506,0.027814082,1204.12,161.0142151,,
UF-H-40534-38-48-R_aligned.ply,686.649205,0.028691628,1211.62,19.47350353,,
UF-H-40534-40-21-R_aligned.ply,722.6193614,0.028489185,1221.88,160.2262031,,
UF-H-40534-40-35-R_aligned.ply,720.1373071,0.031669211,1194.38,159.7058197,,
UF-H-40534-44-38-L_aligned.ply,703.778193,0.039667836,1147.12,21.91455182,,TRUE
UF-H-40534-62-21-R_aligned.ply,742.3962397,0.03117778,1191.12,20.52244967,,
UF-H-40534-62-47-L_aligned.ply,606.813543,0.029548424,1127.5,19.4735549,,
UF-H-40534-62-48-R_aligned.ply,778.9062999,0.033012962,1163.12,21.06663973,,
UF-H-40534-63-22-L_aligned.ply,594.4155118,0.028509499,1087.62,19.3847007,,
UF-H-40534-65-31-L_aligned.ply,667.1616793,0.028201563,1249.12,161.1600021,,
UF-H-40534-65-33-R_aligned.ply,697.6284859,0.030267892,1164.75,160.1758893,,
UF-H-40534-83-32-L_aligned.ply,680.4443267,0.02849082,1307.75,18.70732251,,
UF-H-40534-83-36-R_aligned.ply,648.3013763,0.032466496,1126.38,160.0169493,,
UF-H-40534-84-19-R_aligned.ply,716.3639256,0.038835955,1077.62,21.78039382,,
UF-H-40534-86-19-L_aligned.ply,635.3363743,0.033115988,1122,159.5738504,,
UF-H-40534-86-48-R_aligned.ply,678.2915505,0.036433502,1019.88,21.48086755,,
UF-H-40534-87-51-L_aligned.ply,917.3278138,0.043724195,1161.25,158.5347086,,
UF-H-43889-106-32-R_aligned.ply,2764.506237,0.050919747,2282,23.24688872,,
UF-H-43889-108-28-R_aligned.ply,2927.252544,0.053607389,2256.38,155.885222,,
UF-H-43889-108-31-L_aligned.ply,2004.802012,0.046711273,2034.62,157.4589532,,
UF-H-43889-108-37-R_aligned.ply,2296.928454,0.038688067,2227.25,20.41415072,,
UF-H-43889-111-30-L_aligned.ply,1964.985958,0.045869526,2000.38,22.75524469,,
UF-H-43889-112-21-L_aligned.ply,2024.250544,0.047122642,1896.12,157.2606441,,
